0,1,2,3,4,5,TOTAL,Dataset
-1.6159348,0.6568873,0.15549679,2.215795,-1.9493221,2.1807477,8.0,Chm1
-1.5121129,0.62259173,0.06740194,2.2970748,-2.0294242,2.209814,8.0,Chm1
-1.6370823,0.66998935,0.19559692,2.2545366,-2.017076,2.2575855,8.0,Chm1
-1.5670818,0.6336068,0.12671892,2.3086696,-2.0102072,2.2006378,8.0,Chm1
-1.6653779,0.6836063,0.22618426,2.242529,-2.00123,2.2610528,8.0,Chm1
-1.6502389,0.6959834,0.1951318,2.250838,-1.9685032,2.226346,8.0,Chm1
-1.6005954,0.6544548,0.14590026,2.257752,-1.9920428,2.2087693,8.0,Chm1
-1.6731279,0.6608204,0.16382793,2.2938542,-2.0985897,2.284014,8.0,Chm1
-1.6002817,0.671547,0.16049248,2.2286518,-1.9839196,2.2313533,8.0,Chm1
-1.5818831,0.65247315,0.13378817,2.231547,-1.9786919,2.2072785,8.0,Chm1
-2.731472,0.23924172,0.5723895,1.4626209,-2.2703762,2.2418525,12.0,Chm2
-2.8007667,0.25910774,0.6225597,1.4932748,-2.4335077,2.4112031,12.0,Chm2
-2.7134407,0.17251654,0.51443726,1.5012118,-2.445114,2.331593,12.0,Chm2
-2.7543693,0.21786788,0.55847627,1.4769331,-2.3633304,2.301395,12.0,Chm2
-2.7680032,0.21476357,0.5751197,1.4709034,-2.4437287,2.3865516,12.0,Chm2
-2.7007413,0.1534516,0.49754274,1.5338784,-2.450684,2.2975802,12.0,Chm2
-2.8125525,0.27625886,0.6215167,1.4201258,-2.3529353,2.3638487,12.0,Chm2
-2.800792,0.29869676,0.63833493,1.4081131,-2.3423896,2.386014,12.0,Chm2
-2.7554808,0.2520615,0.601835,1.5017966,-2.3743145,2.352271,12.0,Chm2
-2.7496064,0.23749998,0.58594453,1.5128874,-2.3873057,2.348248,12.0,Chm2
-3.0241063,0.12560816,0.6013755,1.5816997,-2.4788413,2.216602,3.0,Chm3
-2.9571657,0.06935943,0.5299171,1.6114267,-2.4686375,2.131256,3.0,Chm3
-3.0561137,0.16280438,0.6384614,1.5297359,-2.4657993,2.2628326,3.0,Chm3
-3.0163457,0.12300412,0.5971469,1.5354258,-2.4550927,2.2119381,3.0,Chm3
-3.0374784,0.14778647,0.6279694,1.5270883,-2.4512815,2.2394087,3.0,Chm3
-3.0442553,0.13546342,0.61948174,1.5358936,-2.4707413,2.2424767,3.0,Chm3
-3.0430863,0.17314744,0.6554926,1.5754026,-2.4840112,2.2848434,3.0,Chm3
-3.0678728,0.27640814,0.76488966,1.5916953,-2.5059857,2.4319913,3.0,Chm3
-3.0615337,0.24202745,0.72106206,1.5621002,-2.4759202,2.3604794,3.0,Chm3
-3.070943,0.2358657,0.7153503,1.569708,-2.4431248,2.3122902,3.0,Chm3
-2.7049885,0.04590272,0.43380293,1.4337296,-2.3954992,2.1640685,4.0,Chm4
-2.7247837,0.0675953,0.4650619,1.4241475,-2.3887296,2.1881518,4.0,Chm4
-2.7194333,0.04306901,0.43949798,1.4388223,-2.401689,2.1700885,4.0,Chm4
-2.7415788,0.06520261,0.47199836,1.4209157,-2.4016092,2.1981997,4.0,Chm4
-2.7411432,0.07136284,0.46844664,1.4131852,-2.3847659,2.187079,4.0,Chm4
-2.7548192,0.08338635,0.4876604,1.4076513,-2.3936598,2.2150838,4.0,Chm4
