Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
1155,2019-10-23 09:44:45Z,Chm114n,Spectrum1,97.15635,46.67315,176.106,48.28712,234.0707,74.073,112.1291,103.3538,455.2774,65.64074,1886.072,26.86712,2950.746,15.34928,5096.432,24.77352,9662.28,46.23627,1845.824,15.17786,944.3422,312.6414,863.5475,115.8796,198.9534,497.3835,212.9409,813.5007,718.8711,844.6517,455.6085,720.9138,102.8902,259.8304,101.2101,148.8957
1156,2019-10-23 09:44:52Z,Chm114n,Spectrum2,98.10886,46.67315,177.9996,48.28712,236.046,71.11008,114.0792,104.3288,466.2175,63.11609,1920.615,27.63475,2886.279,15.34928,5025.568,24.19739,9704.113,45.13541,1823.791,15.17786,947.0927,318.1425,852.4479,117.2116,200.6253,494.8757,215.4363,817.6597,721.4915,869.9825,457.8474,770.1687,102.239,231.8286,100.2369,155.7079
1157,2019-10-23 09:44:59Z,Chm114n,Spectrum3,99.06138,44.76812,181.7868,47.34031,240.9842,71.11008,115.0542,104.3288,469.5837,63.11609,1945.18,27.63475,2878.912,15.34928,4939.725,24.77352,9692.004,45.13541,1782.175,15.17786,949.8433,309.8909,842.2363,114.1037,200.6253,489.86,216.2681,803.5191,724.1119,862.1212,457.8474,735.4663,99.6342,227.2702,97.31742,150.842
1158,2019-10-23 09:45:06Z,Chm114n,Spectrum4,100.0139,44.76812,182.7336,48.28712,243.9471,71.11008,116.0293,102.3788,476.3161,62.27454,1978.955,27.63475,2873.386,15.34928,4960.466,24.77352,9694.206,45.13541,1806.166,15.17786,942.5085,306.2236,847.5641,113.2157,199.7893,488.1882,214.6045,793.5375,719.7446,852.5129,456.728,726.5109,100.2854,260.4816,98.2906,146.9493
1159,2019-10-23 09:45:12Z,Chm114n,Spectrum5,100.0139,44.76812,182.7336,48.28712,242.9594,73.08537,116.0293,102.3788,473.7915,64.79919,1964.37,26.86712,2881.368,15.34928,4952.4,24.19739,9777.871,46.23627,1794.415,14.68825,946.1759,302.5562,846.2321,109.6639,200.6253,495.7116,215.4363,805.1827,722.365,835.9169,454.4891,799.2739,100.9366,240.9454,99.26377,138.1907
1160,2019-10-23 09:45:19Z,Chm114n,Spectrum6,100.0139,45.72063,180.84,48.28712,239.0089,71.11008,115.0542,102.3788,467.0591,62.27454,1918.313,27.63475,2872.158,15.34928,4972.564,24.77352,9819.704,46.23627,1804.207,14.68825,948.0096,314.4751,845.7881,114.1037,200.6253,510.7585,217.0999,819.3234,723.2385,883.0847,456.728,753.3773,100.9366,225.9678,98.2906,151.8152
1161,2019-10-23 09:45:27Z,Chm114n,Spectrum7,97.15635,44.76812,177.9996,47.34031,238.0212,72.09772,113.1042,99.45366,456.119,63.11609,1887.607,26.09949,2921.89,15.34928,5076.268,24.19739,9565.404,47.33714,1824.771,15.17786,935.1738,318.1425,853.3359,110.9958,198.1175,522.4617,212.9409,842.6138,712.7567,856.8803,450.0114,827.2597,101.5878,244.8527,100.2369,140.1371
1162,2019-10-23 09:45:35Z,Chm114n,Spectrum8,99.06138,46.67315,179.8932,48.28712,238.0212,73.08537,114.0792,99.45366,461.1682,60.59145,1897.586,26.09949,2960.57,15.34928,5141.946,24.19739,9500.454,46.23627,1823.791,14.68825,931.5065,318.1425,865.7674,112.7718,197.2815,511.5945,212.1091,837.6229,708.3893,865.6151,446.6531,733.2275,102.8902,250.7135,99.26377,142.0834
1163,2019-10-23 09:45:43Z,Chm114n,Spectrum9,98.10886,44.76812,177.9996,47.34031,238.0212,70.12244,113.1042,101.4037,459.4852,61.433,1905.263,26.86712,2932.327,15.34928,5065.321,24.77352,9690.903,46.23627,1830.646,14.68825,937.9244,319.9761,860.8836,115.8796,198.9534,499.0554,213.7727,824.3141,720.618,887.452,457.8474,753.3773,102.8902,221.4093,100.2369,148.8957
1164,2019-10-23 09:45:51Z,Chm114n,Spectrum10,98.10886,45.72063,178.9464,48.28712,237.0336,73.08537,114.0792,99.45366,460.3267,61.433,1906.03,26.86712,2936.625,15.34928,5077.42,24.77352,9957.313,46.23627,1825.75,15.17786,945.259,316.3088,859.1077,113.6597,198.9534,493.2038,216.2681,806.0145,734.5936,860.3743,464.564,725.3915,102.239,257.2256,100.2369,145.003
1165,2019-10-23 09:46:23Z,Chm121n,Spectrum1,118.1116,58.10331,314.3397,583.2327,698.2615,803.939,283.7354,547.9702,1215.195,171.6758,4125.255,50.66372,4736.175,27.62871,7102.511,35.14383,12484.9,63.85009,2238.49,20.56355,997.5187,343.8139,1024.269,121.2074,203.1331,598.532,245.3811,849.2681,849.8925,847.2721,535.0881,714.1971,132.1944,255.9231,131.3785,142.0834
1166,2019-10-23 09:46:31Z,Chm121n,Spectrum2,117.1591,59.05582,314.3397,597.4348,708.1379,809.8648,282.7604,551.8703,1213.512,172.5173,4146.749,50.66372,4739.245,27.62871,7115.186,35.14383,12552.05,63.85009,2253.668,20.56355,1002.103,336.4792,1020.274,119.4315,203.1331,591.8445,247.0447,838.4548,854.2599,868.2355,535.0881,725.3915,132.8456,261.784,131.3785,144.0298
1167,2019-10-23 09:46:39Z,Chm121n,Spectrum3,117.1591,59.05582,315.2865,597.4348,704.1873,809.8648,283.7354,546.9951,1218.561,170.8342,4135.234,49.89608,4732.491,27.62871,7061.606,35.14383,12438.66,63.85009,2234.083,21.05316,1002.103,344.7307,1019.83,123.4274,203.969,589.3367,247.0447,841.7819,851.6395,833.2964,538.4464,782.4824,130.892,240.9454,129.4322,160.5737
1168,2019-10-23 09:46:48Z,Chm121n,Spectrum4,117.1591,58.10331,315.2865,571.871,709.1255,800.9761,283.7354,530.4195,1216.878,169.1511,4174.383,49.89608,4730.649,27.62871,7068.52,35.14383,12538.84,66.05182,2236.531,21.05316,1003.02,346.5644,1025.157,120.7635,205.6409,591.8445,247.0447,846.7728,854.2599,864.7416,539.5659,718.6749,132.1944,258.528,129.4322,143.0566
1169,2019-10-23 09:47:49Z,Chm121n,Spectrum5,118.1116,58.10331,315.2865,582.2858,708.1379,801.9637,282.7604,548.9452,1214.354,167.468,4151.354,51.43135,4704.249,28.24268,7062.182,35.14383,12461.78,64.95096,2253.178,21.54277,999.3524,354.8159,1020.718,123.4274,206.4768,586.8289,247.8765,835.9594,853.3864,824.5617,536.2076,754.4966,132.1944,236.387,130.4053,154.7347
1170,2019-10-23 09:47:59Z,Chm121n,Spectrum6,117.1591,57.15079,315.2865,571.871,705.175,803.939,284.7105,546.0201,1216.878,167.468,4143.678,49.89608,4724.51,28.24268,7046.627,35.14383,12405.63,64.95096,2221.843,21.54277,993.8514,347.4813,1026.045,121.2074,203.969,585.993,246.2129,835.1276,850.766,840.2843,537.327,812.7071,132.1944,256.5743,129.4322,141.1103
