Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
626,2019-10-08 08:34:33Z,Flood,No_sample,135.2569,322.902,1744.017,8750.384,3730.316,5526.833,826.8304,2104.127,2312.574,450.2281,5476.287,89.04532,4120.976,42.36403,6436.507,63.37413,13399.71,73.75787,1474.701,30.35572,1692.481,298.8889,804.4977,129.1991,312.6411,599.368,366.8239,707.0303,835.0434,673.4503,499.2663,752.2578,133.4968,271.552,145.9761,272.4888
627,2019-10-08 08:41:46Z,Chm65,Spectrum1,121.9217,94.29881,589.8603,2149.25,1495.287,3873.524,454.3667,1123.241,1705.818,260.0383,4806.145,52.19898,5350.76,33.76842,7905.634,42.05737,12905.42,50.63973,2805.946,28.39729,1104.789,312.6414,969.2155,134.0829,268.3363,574.2899,250.3719,803.5191,931.1259,850.766,519.4161,703.0028,148.4745,276.7617,138.1907,174.1982
628,2019-10-08 08:42:02Z,Chm65,Spectrum2,121.9217,97.15635,589.8603,2222.154,1502.2,3953.523,455.3417,1162.243,1708.342,267.6122,4817.659,52.96661,5331.727,34.3824,7843.988,42.05737,13045.23,49.53887,2771.184,28.8869,1102.955,311.7246,966.5516,134.5269,270.0082,572.618,251.2037,804.351,931.1259,849.019,513.819,699.6445,147.1721,276.1105,136.2444,174.1982
629,2019-10-08 08:42:13Z,Chm65,Spectrum3,121.9217,95.25132,591.7539,2203.218,1509.114,3955.498,454.3667,1166.143,1704.135,267.6122,4823.032,52.19898,5345.234,34.3824,7851.478,42.6335,13014.41,49.53887,2770.694,28.39729,1108.456,310.8078,965.6636,136.7469,270.0082,572.618,252.0355,806.8463,936.3667,841.1578,520.5355,784.7213,146.5209,261.784,135.2712,166.4128
630,2019-10-08 08:42:20Z,Chm65,Spectrum4,121.9217,97.15635,593.6475,2213.633,1507.139,3956.486,456.3168,1171.993,1709.184,265.9291,4811.518,52.96661,5385.757,34.3824,7920.614,42.05737,13059.55,49.53887,2798.112,28.8869,1110.29,311.7246,975.8752,134.5269,270.0082,567.6024,252.8673,801.0237,939.8606,831.5495,522.7744,705.2417,148.4745,279.3665,138.1907,175.1714
631,2019-10-08 08:42:28Z,Chm65,Spectrum5,121.9217,97.15635,590.8071,2239.197,1499.238,3973.276,454.3667,1179.793,1698.244,269.2953,4785.418,53.73425,5348.918,34.3824,7876.251,42.6335,13046.34,49.53887,2785.872,28.39729,1105.706,313.5583,971.4354,134.9709,270.8441,574.2899,251.2037,805.1827,931.1259,867.3621,520.5355,727.6303,147.8233,246.1551,137.2176,180.0372
632,2019-10-08 08:42:37Z,Chm65,Spectrum6,119.0642,96.20383,584.1794,2221.208,1505.163,3970.313,431.9409,1175.893,1638.494,268.4538,4743.199,52.19898,5345.849,34.3824,7867.034,42.05737,13126.7,50.63973,2787.341,28.8869,1110.29,306.2236,968.3276,136.7469,272.516,570.1102,253.6991,797.6965,940.7341,832.423,521.655,760.0938,147.1721,259.8304,136.2444,196.5812
633,2019-10-08 08:42:44Z,Chm65,Spectrum7,121.9217,96.20383,594.5943,2211.74,1513.065,3941.671,455.3417,1164.193,1706.659,266.7707,4817.659,52.96661,5340.323,33.76842,7883.741,42.05737,13066.15,49.53887,2803.498,28.8869,1102.955,308.9741,967.8835,133.639,271.6801,570.1102,252.0355,797.6965,936.3667,838.5374,517.1772,698.5251,147.8233,268.9472,137.2176,170.3055
634,2019-10-08 08:42:55Z,Chm65,Spectrum8,121.9217,96.20383,599.3284,2227.835,1523.929,3953.523,458.2668,1184.669,1714.233,270.1369,4829.941,53.73425,5332.955,34.3824,7870.49,42.6335,13021.02,49.53887,2793.216,28.8869,1101.121,308.0573,968.7715,134.0829,270.8441,568.4383,251.2037,795.2011,930.2524,856.0068,516.0578,704.1223,147.8233,242.2479,138.1907,178.0909
635,2019-10-08 08:43:03Z,Chm65,Spectrum9,121.9217,94.29881,597.4348,2193.75,1524.916,3944.634,458.2668,1161.268,1702.451,265.0876,4809.215,53.73425,5339.709,34.3824,7873.947,42.6335,12991.29,49.53887,2786.851,29.37651,1103.872,312.6414,969.2155,134.9709,270.0082,566.7664,251.2037,794.3693,932.8728,854.2599,517.1772,717.5554,147.1721,244.2015,136.2444,179.0641
