Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
1944,2019-10-25 09:16:23Z,Chm153s,Spectrum1,110.4915,69.53346,397.6586,1173.093,985.6647,2242.93,346.1377,824.8803,1427.265,223.8517,4403.138,56.80477,5225.51,36.22431,7451.069,42.05737,12165.64,58.34578,2639.479,27.41807,1036.026,303.4731,1016.722,136.3029,252.4535,591.0086,246.2129,796.8647,842.0313,827.1821,482.4749,667.181,136.1016,249.4111,124.5663,145.9761
1945,2019-10-25 09:16:28Z,Chm153s,Spectrum2,110.4915,70.48598,398.6054,1175.933,984.6771,2250.832,346.1377,822.9302,1428.107,221.3271,4398.532,57.57241,5227.966,36.83828,7457.982,42.6335,12161.24,58.34578,2634.094,27.41807,1036.943,307.1404,1015.834,136.7469,252.4535,586.8289,247.0447,791.0421,842.9047,841.1578,483.5943,679.4948,136.1016,256.5743,124.5663,148.8957
1946,2019-10-25 09:16:34Z,Chm153s,Spectrum3,110.4915,70.48598,398.6054,1180.667,985.6647,2235.029,346.1377,825.8553,1425.582,222.1686,4398.532,57.57241,5237.79,36.83828,7463.167,42.6335,12150.23,58.34578,2636.542,27.41807,1036.026,307.1404,1017.166,136.7469,252.4535,585.993,246.2129,789.3785,842.0313,837.6639,482.4749,679.4948,136.1016,257.8768,124.5663,149.8688
1947,2019-10-25 09:16:39Z,Chm153s,Spectrum4,110.4915,69.53346,399.5522,1168.359,988.6277,2240.955,347.1128,830.7305,1428.948,222.1686,4400.067,58.34004,5229.808,36.22431,7460.863,42.05737,12154.64,58.34578,2636.542,27.41807,1035.109,308.9741,1017.166,137.6348,252.4535,591.0086,246.2129,799.3601,840.2843,854.2599,482.4749,697.4057,136.1016,227.2702,124.5663,154.7347
1948,2019-10-25 09:16:44Z,Chm153s,Spectrum5,110.4915,69.53346,399.5522,1169.306,987.64,2253.794,347.1128,831.7056,1426.424,223.8517,4395.461,56.80477,5238.404,36.83828,7462.015,42.6335,12149.13,58.34578,2637.031,27.41807,1035.109,301.6394,1018.498,139.4108,252.4535,586.8289,246.2129,790.2103,840.2843,811.4595,482.4749,732.108,136.1016,238.3406,124.5663,166.4128
1949,2019-10-25 09:16:49Z,Chm153s,Spectrum6,110.4915,70.48598,398.6054,1174.04,986.6524,2247.869,346.1377,831.7056,1426.424,223.0102,4393.926,56.03714,5214.458,36.22431,7427.448,42.05737,12127.11,58.34578,2620.384,27.41807,1035.109,301.6394,1014.502,138.5228,252.4535,585.993,246.2129,789.3785,838.5374,809.7126,482.4749,715.3166,135.4504,230.5262,124.5663,159.6006
1950,2019-10-25 09:16:54Z,Chm153s,Spectrum7,110.4915,69.53346,399.5522,1170.253,987.64,2256.758,346.1377,830.7305,1423.057,223.8517,4394.693,56.80477,5226.738,36.22431,7452.221,42.05737,12115,59.44664,2638.5,27.41807,1035.109,304.3899,1016.278,135.8589,252.4535,591.0086,246.2129,786.0513,839.4108,823.6882,482.4749,655.9867,136.1016,245.5039,124.5663,144.0298
1951,2019-10-25 09:17:00Z,Chm153s,Spectrum8,110.4915,66.67593,398.6054,1152.263,987.64,2244.906,346.1377,837.5558,1424.741,223.0102,4393.158,56.03714,5220.599,35.61034,7443.003,40.32899,12121.61,57.24491,2631.156,26.92846,1034.192,298.8889,1014.502,134.0829,252.4535,577.6336,246.2129,782.7241,839.4108,779.1409,482.4749,634.7175,136.1016,205.7804,124.5663,135.2712
1952,2019-10-25 09:17:05Z,Chm153s,Spectrum9,110.4915,65.72341,398.6054,1145.636,986.6524,2244.906,346.1377,836.5807,1418.85,223.0102,4380.108,55.26951,5216.301,35.61034,7435.514,40.32899,12084.18,58.34578,2629.687,27.41807,1032.359,297.972,1013.614,132.307,252.4535,581.8133,245.3811,781.8923,836.7904,789.6227,480.236,615.6872,135.4504,216.8509,124.5663,130.4053
1953,2019-10-25 09:17:11Z,Chm153s,Spectrum10,110.4915,70.48598,399.5522,1177.827,989.6153,2255.77,347.1128,835.6057,1425.582,223.8517,4393.926,56.03714,5213.845,36.22431,7430.904,42.05737,12069.87,58.34578,2626.26,27.41807,1032.359,301.6394,1014.502,138.0788,252.4535,586.8289,245.3811,793.5375,836.7904,807.9656,480.236,709.7194,135.4504,229.875,124.5663,159.6006
1954,2019-10-25 09:17:36Z,Chm154s,Spectrum1,113.3491,55.24577,320.9673,628.6793,764.4333,1556.521,286.6606,631.8232,1195.84,173.3589,3914.156,43.75503,4545.844,27.62871,6513.132,31.11094,10436.19,46.23627,2048.522,19.09473,1130.46,269.5501,960.7798,142.5186,237.4066,461.4381,230.4087,736.1433,772.1531,767.7858,429.8616,583.2237,126.3336,207.7341,109.9687,132.3517
