Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
779,2019-10-15 08:46:39Z,Flood,Flood,132.3993,285.754,1681.528,7657.769,3645.379,4953.015,818.0551,1959.822,2258.715,404.7845,5345.022,81.369,4026.424,33.15445,6282.681,51.27543,13021.02,60.5475,1435.042,25.45964,1653.057,287.8868,784.9625,118.5435,305.9536,560.9148,359.3377,646.3088,813.2065,606.1926,485.8332,663.8228,129.5896,237.6894,141.1103,278.3278
780,2019-10-15 08:48:34Z,Chm80,Spectrum1,128.5893,122.8742,788.6896,3082.801,2047.378,4341.666,496.2932,1273.397,1811.853,265.0876,5136.226,51.43135,6120.68,36.83828,8020.284,43.78576,13179.54,47.33714,2556.246,28.8869,1129.543,301.6394,1051.796,135.4149,270.8441,544.196,259.5217,752.7793,931.1259,773.9001,531.7299,701.8834,149.1257,240.9454,129.4322,168.3591
781,2019-10-15 08:48:45Z,Chm80,Spectrum2,127.6368,122.8742,790.5832,3125.407,2049.353,4491.787,495.3182,1281.197,1837.941,275.1862,5274.4,52.19898,6196.813,38.68019,8283.574,44.93802,13248.89,48.438,2726.629,28.8869,1108.456,295.2216,1065.56,141.6307,267.5004,556.7351,254.5309,764.4245,932.8728,780.0144,528.3716,720.9138,152.3817,263.0864,136.2444,174.1982
782,2019-10-15 08:48:58Z,Chm80,Spectrum3,144.782,126.6843,834.1363,3155.705,2152.068,4554.996,509.9438,1249.996,1801.754,262.563,5220.666,48.36082,5490.746,36.83828,7855.511,39.17673,12404.53,45.13541,2421.114,24.97003,1220.31,292.471,1022.938,130.0871,245.766,467.2897,254.5309,720.3391,935.4932,775.647,554.1185,730.9886,143.9161,217.5021,126.5126,145.9761
783,2019-10-15 08:49:09Z,Chm80,Spectrum4,140.972,133.3519,831.2959,3399.981,2169.845,4846.35,506.0436,1326.049,1853.93,279.3939,5321.993,52.19898,6068.493,38.06622,8141.271,41.48125,12443.06,46.23627,2424.051,25.94925,1188.221,301.6394,1054.016,142.5186,241.5863,466.4538,249.5401,746.9567,952.9627,777.394,559.7156,718.6749,151.7305,247.4575,137.2176,175.1714
784,2019-10-15 08:49:18Z,Chm80,Spectrum5,147.6395,134.3044,840.764,3444.481,2151.08,4848.325,517.744,1328.974,1823.634,279.3939,5185.354,50.66372,5733.265,38.06622,7727.61,40.90512,12146.93,45.13541,2356.975,26.43886,1225.811,302.5562,1048.245,142.0746,241.5863,475.6491,247.8765,759.4337,919.7706,788.7492,547.4019,725.3915,147.1721,250.7135,134.298,175.1714
785,2019-10-15 08:49:28Z,Chm80,Spectrum6,146.687,138.1144,838.8704,3475.726,2177.746,4901.657,516.769,1364.075,1833.733,283.6017,5226.807,51.43135,5765.805,38.06622,7761.026,40.90512,12120.51,46.23627,2341.308,25.94925,1228.562,308.9741,1039.365,142.0746,241.5863,483.1725,248.7083,767.7517,915.4033,799.2309,544.0436,687.3308,148.4745,261.784,135.2712,159.6006
786,2019-10-15 08:49:38Z,Chm80,Spectrum7,152.4021,140.972,872.9554,3568.513,2282.436,5018.199,526.5193,1381.626,1855.613,281.077,5298.964,50.66372,5677.393,34.99637,7646.953,38.60061,11857.4,45.13541,2211.072,23.50121,1263.401,316.3088,1045.581,141.6307,233.2269,458.0944,250.3719,771.0789,939.8606,800.1044,561.9545,769.0493,149.1257,255.9231,135.2712,157.6542
787,2019-10-15 08:49:48Z,Chm80,Spectrum8,150.4971,138.1144,851.1788,3439.747,2194.536,4851.288,523.5942,1336.774,1825.317,275.1862,5195.334,49.89608,5669.412,33.76842,7664.236,38.60061,11960.88,45.13541,2239.958,23.99081,1232.229,306.2236,1041.141,140.7427,236.5706,458.9303,248.7083,734.4797,918.0237,787.0022,549.6407,742.1829,148.4745,246.1551,134.298,172.2518
788,2019-10-15 08:49:57Z,Chm80,Spectrum9,127.6368,126.6843,784.9024,3199.258,2037.501,4617.217,499.2184,1312.398,1822.793,282.7601,5169.234,53.73425,6328.817,39.90814,8433.944,44.93802,13109.08,48.438,2776.569,30.84533,1110.29,294.3047,1069.112,134.0829,264.9926,548.3757,255.3627,739.4705,916.2767,801.8513,522.7744,671.6588,151.0793,271.552,138.1907,167.386
789,2019-10-15 08:50:08Z,Chm80,Spectrum10,133.3519,127.6368,807.6257,3238.077,2081.945,4757.462,505.0686,1309.473,1836.258,279.3939,5219.13,54.50188,6238.563,36.83828,8336.002,43.78576,12850.38,48.438,2660.043,28.8869,1126.793,302.5562,1077.103,140.2987,257.4691,532.4929,251.2037,731.9843,923.2645,782.6348,531.7299,708.6,152.3817,241.5967,140.1371,175.1714
790,2019-10-15 09:26:26Z,Chm81,Spectrum1,122.8742,81.91614,513.169,1655.964,1284.92,3085.387,377.3389,913.6086,1510.578,218.8025,4595.813,47.59319,5014.304,36.83828,7467.201,36.87222,12371.51,46.23627,2349.631,21.54277,1109.373,301.6394,984.311,162.9419,239.9144,511.5945,243.7175,766.0881,924.138,806.2187,540.6853,670.5393,142.6137,264.3888,128.459,156.681
791,2019-10-15 09:26:37Z,Chm81,Spectrum2,116.2066,80.96362,480.9776,1584.007,1192.082,2957.982,379.2889,898.008,1484.49,217.1194,4392.391,46.05792,4925.278,36.22431,7398.065,38.02448,12873.5,48.438,2592.966,24.48042,1100.204,295.2216,934.1408,147.4025,266.6644,568.4383,252.0355,790.2103,890.0724,816.7004,516.0578,730.9886,137.404,246.8063,128.459,176.1445
792,2019-10-15 09:26:47Z,Chm81,Spectrum3,129.5418,89.53624,512.2222,1730.762,1274.056,3069.585,393.9145,943.8347,1481.124,217.1194,4428.469,45.29029,4652.061,34.99637,6934.858,34.56771,12008.22,44.03455,2213.52,20.56355,1184.554,306.2236,982.091,154.9502,239.9144,494.8757,247.8765,796.0329,906.6685,835.0434,537.327,717.5554,136.1016,258.528,123.5931,156.681
