iter	Passed	Remaining
0	22	4419
1	49	4921
2	61	4017
3	71	3493
4	81	3186
5	91	2970
6	102	2815
7	112	2697
8	123	2613
9	129	2463
10	140	2407
11	150	2355
12	160	2308
13	170	2266
14	177	2188
15	187	2154
16	197	2125
17	208	2103
18	214	2043
19	226	2041
20	245	2091
21	255	2063
22	261	2009
23	270	1986
24	280	1964
25	290	1943
26	299	1921
27	311	1913
28	321	1894
29	330	1873
30	340	1857
31	350	1838
32	359	1818
33	369	1801
34	378	1783
35	387	1767
36	397	1750
37	406	1734
38	416	1720
39	429	1716
40	440	1707
41	449	1692
42	459	1677
43	469	1664
44	479	1650
45	488	1635
46	498	1622
47	508	1609
48	515	1587
49	524	1573
50	534	1561
51	544	1548
52	553	1536
53	563	1523
54	572	1509
55	582	1496
56	592	1486
57	602	1474
58	612	1462
59	621	1451
60	631	1439
61	641	1428
62	651	1417
63	661	1406
64	671	1395
65	681	1383
66	691	1372
67	700	1360
68	710	1349
69	720	1337
70	730	1326
71	739	1315
72	750	1304
73	760	1294
74	769	1283
75	779	1272
76	789	1261
77	799	1250
78	808	1238
79	818	1228
80	828	1217
81	838	1206
82	848	1195
83	859	1187
84	874	1182
85	886	1174
86	896	1164
87	904	1151
88	912	1138
89	921	1125
90	929	1113
91	937	1100
92	944	1086
93	952	1074
94	960	1061
95	968	1048
96	976	1036
97	983	1023
98	991	1011
99	1008	1008
100	1019	999
101	1031	990
102	1042	981
103	1052	971
104	1062	961
105	1074	952
106	1085	943
107	1096	933
108	1107	924
109	1122	918
110	1133	908
111	1144	899
112	1155	889
113	1165	879
114	1175	869
115	1186	859
116	1198	850
117	1209	840
118	1222	832
119	1233	822
120	1240	809
121	1251	800
122	1261	789
123	1275	781
124	1286	772
125	1300	763
126	1315	755
127	1327	746
128	1341	738
129	1354	729
130	1363	718
131	1372	707
132	1381	696
133	1390	685
