,n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
0,2.0,0.01,0.9880735252208606,0.1457057463926375,Leukocyte_a,0.0003549771580321777,0.0009829321721178696
1,2.0,0.01,0.9491183404054692,0.19889821214783898,Blood_a,0.006155466061861795,0.0010230801107457379
2,2.0,0.01,0.9034343964441052,0.26436563942436375,Erythrocyte_a,0.004217061620818064,0.001740000956038075
3,2.0,0.01,0.9761686369426966,0.16445361664494168,Leukocyte_a.1,0.0006555586178035322,0.0010562935152196426
4,2.0,0.01,0.44309346567411084,0.7086093922269171,Squamous cells_a,0.03461541882257483,0.00017405719417229007
5,2.0,0.01,0.8066252587991718,0.7325165120014583,Hyaline cylinders_a,0.03168944956684627,0.002079008970698988
6,2.0,0.01,1.0,0.3575033202712132,Bacteria_a,0.0,0.0019159464060607106
7,2.0,0.01,0.9824561403508772,0.16229146891194088,Crystals_a,0.001538935056940599,0.0014472257691258534
8,2.0,0.01,0.18473684210526314,0.9526484804569482,Ferment_a,0.0640595567867036,0.00028697619162162393
9,2.0,0.01,1.0,0.5792073593340097,Small cells_a,0.0,0.005625768074447998
10,2.0,0.01,0.8,0.5685051072879873,Pathological cylinders_a,0.075,0.0031624437488578924
11,2.0,0.01,1.0,0.3862201566758373,Slime_a,0.0,0.002696762694487132
12,2.0,0.01,0.0,0.0,Spermatozoon_a,0.0,0.0
13,2.0,0.02,0.8125988700564971,0.538321223902965,Leukocyte_a,0.03443078298062498,0.0015483577873986905
14,2.0,0.02,0.639869677250682,0.6480632025223892,Blood_a,0.005856839356885139,0.0014781935280142361
15,2.0,0.02,0.8138822296717034,0.6285154382162712,Erythrocyte_a,0.01613290110707277,0.0022345652937819623
16,2.0,0.02,0.8734779052283219,0.45741235646015876,Leukocyte_a.1,0.005075177412108117,0.006588270802358812
17,2.0,0.02,0.24533333333333332,0.9338604769400064,Squamous cells_a,0.04483111111111112,0.0011172695592175626
18,2.0,0.02,0.20904761904761907,0.9118993644865123,Hyaline cylinders_a,0.08854421768707484,0.0006022675616737019
19,2.0,0.02,0.9343811422874234,0.6043259643942964,Bacteria_a,0.005959809098961077,0.005578732272876362
20,2.0,0.02,0.9058113978159665,0.479261424967115,Crystals_a,0.0009740442254681784,0.0008665921071481887
21,2.0,0.02,0.0,1.0,Ferment_a,0.0,0.0
22,2.0,0.02,0.46645510835913306,0.8966318652754264,Small cells_a,0.07549176044052949,0.0016141147635465253
23,2.0,0.02,0.5512292609351432,0.8587640829477625,Pathological cylinders_a,0.03039231298157969,4.5486894635866295e-05
24,2.0,0.02,1.0,0.7524085243115801,Slime_a,0.0,0.004629888250904433
25,2.0,0.02,0.0,0.0,Spermatozoon_a,0.0,0.0
26,2.0,0.03,0.5558848091399469,0.7374428280709433,Leukocyte_a,0.009514577150789807,0.0036654603344112046
27,2.0,0.03,0.5472627652343398,0.8195542976028106,Blood_a,0.010998411095222668,0.0016738551551722409
28,2.0,0.03,0.7795892150206325,0.7427334085595511,Erythrocyte_a,0.009148468340786082,0.002562388265168749
29,2.0,0.03,0.9299126805503677,0.6119188702772318,Leukocyte_a.1,0.001096963349454336,0.006597258483241048
30,2.0,0.03,0.06666666666666667,0.9816006777906251,Squamous cells_a,0.022222222222222223,0.00025495983572491475
31,2.0,0.03,0.5936781609195403,0.9698770779325789,Hyaline cylinders_a,0.03310212709737086,0.000735158042689959
32,2.0,0.03,0.8404901960784315,0.7223534464486503,Bacteria_a,0.0029565953832513384,0.0013560566086362408
33,2.0,0.03,0.7779545883965089,0.6770612924508794,Crystals_a,0.0168717244346603,0.0012551119002599713
34,2.0,0.03,0.0,1.0,Ferment_a,0.0,0.0
35,2.0,0.03,0.34177631578947365,0.9411673149054515,Small cells_a,0.057890949619113584,0.001003142802583431
