iter	Passed	Remaining
304	3116	1992
305	3124	1981
306	3132	1969
307	3140	1957
308	3147	1945
309	3151	1931
310	3158	1919
311	3167	1908
312	3176	1897
313	3185	1887
314	3193	1875
315	3198	1862
316	3203	1849
317	3212	1838
318	3221	1827
319	3230	1817
320	3238	1805
321	3244	1793
322	3249	1780
323	3256	1768
324	3265	1758
325	3274	1747
326	3282	1736
327	3290	1725
328	3295	1713
329	3300	1700
330	3309	1689
331	3317	1678
332	3325	1667
333	3333	1656
334	3340	1645
335	3346	1633
336	3352	1621
337	3375	1617
338	3392	1611
339	3398	1599
340	3412	1591
341	3420	1580
342	3429	1569
343	3438	1559
344	3443	1547
345	3448	1534
346	3457	1524
347	3465	1513
348	3474	1503
349	3483	1493
350	3490	1481
351	3495	1469
352	3503	1459
353	3512	1448
354	3521	1438
355	3530	1428
356	3537	1417
357	3542	1405
358	3548	1393
359	3556	1383
360	3565	1372
361	3573	1362
362	3581	1351
363	3588	1340
364	3593	1328
365	3600	1318
366	3608	1307
367	3617	1297
368	3626	1287
