iter	Logloss	Accuracy	Precision	Recall
0	0.6927601387	0.7339939024	0.8490878939	0.6649350649
1	0.6922157561	0.7614329268	0.81604426	0.7662337662
2	0.6916341749	0.7774390244	0.8221024259	0.7922077922
3	0.6911274836	0.8079268293	0.8398950131	0.8311688312
4	0.6906058376	0.7995426829	0.8366533865	0.8181818182
5	0.6900657852	0.7972560976	0.8315789474	0.8207792208
6	0.6895284584	0.8125	0.8530997305	0.8220779221
7	0.6889827916	0.8323170732	0.8498727735	0.8675324675
8	0.6882912323	0.8445121951	0.8582278481	0.8805194805
9	0.6878674628	0.8445121951	0.8694516971	0.8649350649
10	0.6874163451	0.8536585366	0.8763020833	0.874025974
11	0.6868992248	0.8620426829	0.8819714656	0.8831168831
12	0.6863885595	0.8574695122	0.8881491345	0.8662337662
13	0.6858451882	0.8818597561	0.9019607843	0.8961038961
14	0.6853636162	0.8818597561	0.9062087186	0.8909090909
15	0.6845982709	0.8955792683	0.9137254902	0.9077922078
16	0.6841088006	0.8986280488	0.9229747676	0.9025974026
17	0.6835655181	0.8925304878	0.9244264507	0.8896103896
18	0.6830383707	0.8856707317	0.9223433243	0.8792207792
19	0.682510161	0.8833841463	0.92434663	0.8727272727
20	0.6820574321	0.8734756098	0.9182825485	0.861038961
21	0.6816372195	0.8757621951	0.9186206897	0.8649350649
22	0.6810120378	0.8841463415	0.9244505495	0.874025974
23	0.6804319582	0.8803353659	0.9204389575	0.8714285714
24	0.6797347578	0.8826219512	0.9230769231	0.8727272727
25	0.6791565581	0.8795731707	0.9203296703	0.8701298701
26	0.6785367054	0.8788109756	0.9179206566	0.8714285714
27	0.678061209	0.8833841463	0.92434663	0.8727272727
28	0.6775488816	0.8788109756	0.9190672154	0.8701298701
29	0.6770023555	0.868902439	0.8997326203	0.874025974
30	0.6764833964	0.875	0.9105691057	0.8727272727
31	0.6759729585	0.8673780488	0.9037940379	0.8662337662
32	0.6753831872	0.8666158537	0.9036635007	0.8649350649
33	0.6748824563	0.875	0.9150684932	0.8675324675
34	0.6744438742	0.8757621951	0.9151846785	0.8688311688
35	0.6738437779	0.8803353659	0.9170068027	0.8753246753
36	0.6733874435	0.8803353659	0.9181446112	0.874025974
37	0.6728317239	0.8856707317	0.9177897574	0.8844155844
38	0.6722479305	0.8864329268	0.9190283401	0.8844155844
39	0.671657314	0.8856707317	0.9177897574	0.8844155844
40	0.6710043943	0.8864329268	0.9201623816	0.8831168831
41	0.6705439542	0.8856707317	0.9177897574	0.8844155844
42	0.6700450799	0.8864329268	0.9224489796	0.8805194805
43	0.6694048588	0.8894817073	0.9286694102	0.8792207792
44	0.6687758614	0.887195122	0.9283746556	0.8753246753
45	0.6683478253	0.8864329268	0.9282758621	0.874025974
46	0.6677950299	0.8879573171	0.927297668	0.8779220779
47	0.6674263378	0.8887195122	0.9285714286	0.8779220779
48	0.6668042608	0.887195122	0.9283746556	0.8753246753
49	0.6661886347	0.8902439024	0.9299450549	0.8792207792
50	0.6656148115	0.8887195122	0.9297520661	0.8766233766
51	0.6649472722	0.8894817073	0.9310344828	0.8766233766
52	0.6644092171	0.8894817073	0.9322268326	0.8753246753
53	0.663913789	0.8910060976	0.9324137931	0.8779220779
54	0.6632696642	0.8932926829	0.9338842975	0.8805194805
55	0.6628802529	0.8894817073	0.9310344828	0.8766233766
56	0.6623616144	0.8902439024	0.932320442	0.8766233766
57	0.6617492962	0.8902439024	0.932320442	0.8766233766
58	0.6612886335	0.8902439024	0.9335180055	0.8753246753
59	0.6608410202	0.8894817073	0.9334257975	0.874025974
60	0.66039652	0.8887195122	0.9333333333	0.8727272727
61	0.6598920373	0.8910060976	0.9372384937	0.8727272727
62	0.6593066429	0.8917682927	0.9397759104	0.8714285714
63	0.6586987383	0.8948170732	0.9413407821	0.8753246753
64	0.6583747239	0.894054878	0.9412587413	0.874025974
65	0.6578796204	0.8948170732	0.9401114206	0.8766233766
66	0.6573817258	0.894054878	0.9388038943	0.8766233766
67	0.6569575516	0.894054878	0.9388038943	0.8766233766
68	0.6565131813	0.8925304878	0.9374130737	0.8753246753
69	0.655964714	0.894054878	0.9363762102	0.8792207792
70	0.6553602319	0.8932926829	0.938718663	0.8753246753
71	0.6549531573	0.894054878	0.9388038943	0.8766233766
72	0.6544528358	0.8948170732	0.9388888889	0.8779220779
73	0.6538923973	0.8932926829	0.9362880886	0.8779220779
74	0.6533675351	0.8925304878	0.9361997226	0.8766233766
75	0.6528084898	0.8948170732	0.9388888889	0.8779220779
76	0.6522186373	0.894054878	0.9388038943	0.8766233766
77	0.6517928162	0.8948170732	0.9388888889	0.8779220779
78	0.6513724867	0.8932926829	0.938718663	0.8753246753
79	0.6508790203	0.8932926829	0.938718663	0.8753246753
80	0.6504405263	0.8963414634	0.9402777778	0.8792207792
81	0.6499553274	0.8955792683	0.9401947149	0.8779220779
