Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
8,2019-09-26 08:57:54Z,Chm1,Spectrum6,108.5865,88.58373,499.9137,2069.719,1220.723,3981.177,408.54,1077.415,1449.987,250.7813,3919.529,56.03714,4086.593,39.90814,5952.559,42.6335,10264.45,47.33714,2198.342,26.92846,1156.132,242.9618,780.5226,134.0829,284.2191,452.2428,233.7359,667.9357,767.7858,760.7979,419.7867,589.9402,117.8679,235.7358,105.1028,143.0566
9,2019-09-26 08:58:05Z,Chm1,Spectrum7,114.3016,87.63122,497.0733,1976.931,1197.02,3755.007,417.3153,1052.064,1401.177,237.3165,3694.613,52.96661,3922.663,37.45225,5735.935,39.75286,9611.641,42.93369,2147.912,24.97003,1223.978,245.7123,761.8753,128.3112,285.891,431.3443,237.8949,634.6636,731.9732,687.4259,408.5924,601.1346,115.9143,204.478,105.1028,146.9493
10,2019-09-26 08:58:16Z,Chm1,Spectrum8,103.8239,83.82117,473.4031,1949.474,1167.391,3836.981,391.9644,1023.788,1395.286,241.5242,3777.517,55.26951,4287.976,40.52211,6254.45,43.78576,10233.63,46.23627,2334.943,27.41807,1142.379,242.9618,796.506,133.195,285.891,456.4225,232.9041,659.6177,756.4305,764.2918,407.473,584.3431,121.1239,239.6431,108.9955,145.9761
11,2019-09-26 08:58:26Z,Chm1,Spectrum9,109.539,85.72619,489.4988,1975.985,1205.908,3884.388,407.565,1054.989,1405.385,241.5242,3752.186,52.96661,3962.571,38.68019,5772.23,40.90512,9816.401,45.13541,2185.123,25.94925,1178.136,243.8787,747.2239,127.4232,290.0707,458.9303,236.2313,662.1131,736.3406,717.1241,396.2787,612.3289,114.6119,202.5244,104.1296,150.842
12,2019-09-26 08:58:37Z,Chm1,Spectrum10,111.444,84.77367,497.0733,1973.144,1203.933,3936.733,415.3653,1050.114,1418.85,244.0489,3825.111,53.73425,4019.056,38.68019,5791.243,40.32899,9817.502,45.13541,2158.194,25.94925,1175.385,235.6271,767.2031,126.9792,288.3988,461.4381,235.3995,664.6085,733.7202,731.0997,398.5175,647.0313,115.9143,220.7581,103.1565,136.2444
13,2019-09-26 09:15:32Z,Chm2,Spectrum1,71.43849,28.5754,140.1273,81.42534,225.1819,273.5763,112.1291,130.6548,419.9324,53.85907,1559.828,23.02896,1966.55,16.57723,3150.27,20.74062,5992.001,27.52159,1344.465,12.24021,923.2549,165.0307,560.3069,98.56429,220.6878,298.4301,173.0145,456.6584,461.1955,543.3023,269.7829,444.4142,66.4228,145.8697,57.41728,94.3979
14,2019-09-26 09:15:44Z,Chm2,Spectrum1,61.91336,26.67037,122.138,75.7445,200.4909,258.7617,100.4287,125.7796,386.2705,56.38371,1450.825,23.02896,2106.536,17.1912,3442.367,21.89288,6153.828,29.72332,1503.098,13.70904,854.4922,150.3613,560.7509,94.56844,229.8831,326.852,168.0237,453.3312,439.3586,513.6041,245.1554,450.0114,67.07401,158.8938,60.3368,91.47838
15,2019-09-26 09:15:52Z,Chm2,Spectrum1,63.81839,28.5754,125.9252,80.47853,202.4662,268.6381,101.4037,130.6548,381.2212,54.70061,1451.592,23.02896,2092.414,16.57723,3406.647,20.74062,5853.292,28.62246,1474.211,12.72982,888.4152,162.2802,578.9542,94.12446,221.5237,315.9848,168.0237,469.1354,462.069,538.0615,256.3498,427.6227,69.67882,165.4058,61.30997,89.53203
16,2019-09-26 09:16:03Z,Chm2,Spectrum1,66.67593,29.52791,131.6061,80.47853,210.3673,267.6505,104.3288,131.6298,393.0029,54.70061,1470.783,22.26133,2037.771,16.57723,3272.986,20.74062,5938.059,27.52159,1395.384,12.24021,892.9993,162.2802,569.6306,100.3402,219.8519,307.6254,169.6873,452.4994,451.5873,514.4776,263.0663,442.1754,67.72521,155.6377,59.36363,102.1833
17,2019-09-26 09:16:26Z,Chm2,Spectrum5,62.86587,27.62288,124.0316,77.63811,195.5527,256.7864,102.3788,128.7047,382.9043,55.54216,1427.028,23.79659,2097.94,16.57723,3402.038,22.46901,5993.102,28.62246,1510.442,13.21943,866.4111,162.2802,560.3069,97.67632,228.2112,335.2114,170.5191,464.1446,439.3586,558.1514,247.3943,439.9365,67.72521,153.6841,60.3368,102.1833
