Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
264,2019-09-27 09:21:11Z,Chm28,Spectrum1,105.729,54.29325,317.1801,760.2854,639.0031,1301.71,170.6313,312.0115,876.8929,111.0843,3320.009,39.14923,5130.345,29.47062,7583.579,35.14383,12973.68,50.63973,2641.438,21.05316,1139.629,341.0634,1045.581,146.5145,259.9769,591.8445,254.5309,855.9225,925.0115,967.8118,549.6407,786.9601,139.3576,278.0641,124.5663,154.7347
265,2019-09-27 09:21:19Z,Chm28,Spectrum2,100.0139,60.96085,319.0737,900.4127,671.5952,1424.177,165.7561,330.5371,894.5654,125.3906,3564.116,42.9874,5315.764,30.0846,7822.672,35.14383,13177.34,52.84146,2777.549,22.03238,1070.866,334.6455,1061.564,145.6265,264.9926,652.0321,250.3719,849.2681,910.1624,900.5541,517.1772,746.6606,142.6137,261.784,128.459,148.8957
266,2019-09-27 09:21:26Z,Chm28,Spectrum3,105.729,58.10331,332.329,856.8597,687.3975,1405.412,177.4565,319.8118,950.9492,122.0244,3651.626,41.45213,4918.524,29.47062,7210.247,35.14383,13188.35,51.74059,2603.248,22.52199,1089.203,341.9802,1038.921,146.5145,260.8129,623.6102,252.0355,890.8582,933.7463,918.8972,541.8047,816.0654,138.0552,254.6207,120.6736,169.3323
267,2019-09-27 09:21:42Z,Chm28,Spectrum5,97.15635,60.00833,309.6057,870.1149,643.9413,1410.35,156.0057,332.4872,827.2416,124.5491,3367.602,41.45213,4685.83,27.62871,6865.723,36.29609,13532.92,52.84146,2526.869,23.50121,1072.699,324.5603,973.2114,154.5062,262.4847,620.2665,251.2037,829.3049,934.6198,878.7172,525.0132,863.0815,128.2872,270.9008,113.8614,150.842
268,2019-09-27 09:21:49Z,Chm28,Spectrum6,105.729,66.67593,322.8609,999.8274,698.2615,1540.718,161.856,339.3125,848.2803,125.3906,3449.739,42.21976,4628.73,24.55886,6766.052,32.26319,12917.53,49.53887,2209.603,19.09473,1159.799,328.2277,982.535,156.7261,238.2425,551.7195,245.3811,852.5953,943.3545,877.8438,557.4767,790.3185,129.5896,265.04,109.9687,171.2787
269,2019-09-27 09:21:58Z,Chm28,Spectrum7,99.06138,59.05582,307.712,873.9022,652.8301,1403.437,161.856,330.5371,861.7451,124.5491,3477.373,42.9874,5257.437,28.85665,7863,35.71996,13059.55,49.53887,2820.634,22.52199,1128.626,310.8078,1078.435,144.2946,273.3519,616.9227,256.1945,790.2103,934.6198,813.2065,541.8047,725.3915,147.1721,246.8063,130.4053,163.4933
270,2019-09-27 09:22:05Z,Chm28,Spectrum8,100.9664,61.91336,303.9248,855.9128,630.1143,1408.375,158.9308,332.4872,811.2522,122.866,3220.217,41.45213,5091.665,28.24268,7686.706,33.41545,12985.79,47.33714,2685.013,21.54277,1134.127,340.1466,1061.564,138.5228,262.4847,548.3757,258.6899,850.1,901.4276,924.138,505.9829,804.8711,145.2185,219.4557,130.4053,151.8152
271,2019-09-27 09:22:12Z,Chm28,Spectrum9,111.444,55.24577,342.7439,789.6364,705.175,1347.141,184.2818,312.9865,960.2062,116.9752,3768.306,39.91687,5118.679,28.85665,7398.641,35.71996,12287.84,48.438,2627.729,23.99081,1128.626,328.2277,1009.618,153.1742,262.4847,601.0399,243.7175,833.4639,868.2355,871.7294,532.8493,699.6445,132.8456,285.2273,116.7809,160.5737
272,2019-09-27 09:22:19Z,Chm28,Spectrum10,108.5865,60.96085,333.2758,885.2639,673.5705,1413.313,178.4316,318.8367,929.0689,121.1829,3600.194,40.6845,5012.462,28.85665,7469.505,33.41545,12749.1,49.53887,2582.685,21.54277,1151.547,346.5644,1014.502,146.5145,253.2894,561.7507,247.8765,839.2866,944.228,902.3011,570.9099,835.0957,134.7992,253.3183,120.6736,151.8152
273,2019-09-27 09:22:35Z,Chm28,Spectrum4,99.06138,60.96085,308.6588,898.5191,662.7065,1374.795,160.8809,329.5621,840.7064,125.3906,3452.042,41.45213,4603.557,23.94488,6384.655,32.26319,13597.87,51.74059,2274.231,20.07395,1102.038,329.1445,986.9749,129.6431,264.9926,608.5634,256.1945,874.2222,940.7341,891.8194,528.3716,798.1545,125.0312,234.4334,111.915,137.2176
