N_Comp,Condition,Anomaly,Mean_Sens,Mean_Spec,Mean_Harm
2,0.01,Protein_a,0.8683371636563563,0.5389708934305432,0.6613334369231427
2,0.01,Bilirubin_a,0.0,0.0,
2,0.01,Glucose_a,0.1809354004837761,0.8964299591597396,0.24665562790862772
2,0.01,Ketones_a,0.5599692717293717,0.678770448933832,0.5910598210771115
2,0.01,Nitrite_a,1.0,0.7694652806150212,0.8691118469190765
2,0.01,Urobilinogen_a,0.8509587301587299,0.7204538406377163,0.7457107677776535
2,0.02,Protein_a,0.6037003236626313,0.881381516497768,0.6979918369324549
2,0.02,Bilirubin_a,0.0,0.0,
2,0.02,Glucose_a,0.0,1.0,0.0
2,0.02,Ketones_a,0.1009847564125669,0.9900872962802895,0.15780482295146206
2,0.02,Nitrite_a,0.7873890543169014,0.9341084542334513,0.82491902596908
2,0.02,Urobilinogen_a,0.0030000000000000005,0.9997127521279972,0.00553869456591364
2,0.03,Protein_a,0.3547359463696663,0.9406732419165913,0.49759553051677224
2,0.03,Bilirubin_a,0.0,0.0,
2,0.03,Glucose_a,0.0,1.0,0.0
2,0.03,Ketones_a,0.003564356435643564,0.9979123926298519,0.0063198316045771155
2,0.03,Nitrite_a,0.4934275002335509,0.9609663858173266,0.6057885169771212
2,0.03,Urobilinogen_a,0.0,1.0,0.0
2,0.04,Protein_a,0.27075945745004204,0.9649661066183599,0.4120996743531812
2,0.04,Bilirubin_a,0.0,0.0,
2,0.04,Glucose_a,0.0,1.0,0.0
2,0.04,Ketones_a,0.0,0.999516724466806,0.0
2,0.04,Nitrite_a,0.28135386719609645,0.9714261613368014,0.3934043875052478
2,0.04,Urobilinogen_a,0.0,1.0,0.0
2,0.05,Protein_a,0.22990498051334707,0.9756781382895373,0.3620191169345381
2,0.05,Bilirubin_a,0.0,0.0,
2,0.05,Glucose_a,0.0,1.0,0.0
2,0.05,Ketones_a,0.0,1.0,0.0
2,0.05,Nitrite_a,0.17815826048910957,0.9786959853712114,0.26775119505001244
2,0.05,Urobilinogen_a,0.0,1.0,0.0
2,0.060000000000000005,Protein_a,0.20590484048953175,0.9825440328089394,0.3273676001257051
2,0.060000000000000005,Bilirubin_a,0.0,0.0,
2,0.060000000000000005,Glucose_a,0.0,1.0,0.0
2,0.060000000000000005,Ketones_a,0.0,1.0,0.0
2,0.060000000000000005,Nitrite_a,0.13893634135811053,0.9831512232866557,0.2173872001694134
2,0.060000000000000005,Urobilinogen_a,0.0,1.0,0.0
2,0.06999999999999999,Protein_a,0.18382629612771426,0.9860111050148471,0.2938218197164296
2,0.06999999999999999,Bilirubin_a,0.0,0.0,
2,0.06999999999999999,Glucose_a,0.0,1.0,0.0
2,0.06999999999999999,Ketones_a,0.0,1.0,0.0
2,0.06999999999999999,Nitrite_a,0.11430642270554552,0.9862947557448198,0.18548134379589978
2,0.06999999999999999,Urobilinogen_a,0.0,1.0,0.0
2,0.08,Protein_a,0.16513708563137633,0.989034678286595,0.2663540454495351
2,0.08,Bilirubin_a,0.0,0.0,
2,0.08,Glucose_a,0.0,1.0,0.0
2,0.08,Ketones_a,0.0,1.0,0.0
2,0.08,Nitrite_a,0.10180278747298989,0.9885375308402579,0.1672498756742048
2,0.08,Urobilinogen_a,0.0,1.0,0.0
2,0.09,Protein_a,0.14459577109943236,0.9907260161898408,0.23623682502060558
2,0.09,Bilirubin_a,0.0,0.0,
2,0.09,Glucose_a,0.0,1.0,0.0
2,0.09,Ketones_a,0.0,1.0,0.0
2,0.09,Nitrite_a,0.0842811626406875,0.9905477446753824,0.14118117688712264
2,0.09,Urobilinogen_a,0.0,1.0,0.0
2,0.09999999999999999,Protein_a,0.12605359940996633,0.9922886619408654,0.2089095493960385
2,0.09999999999999999,Bilirubin_a,0.0,0.0,
2,0.09999999999999999,Glucose_a,0.0,1.0,0.0
2,0.09999999999999999,Ketones_a,0.0,1.0,0.0
2,0.09999999999999999,Nitrite_a,0.07542878588096506,0.9920835900493539,0.12700877193484023
2,0.09999999999999999,Urobilinogen_a,0.0,1.0,0.0
2,0.11,Protein_a,0.10694627394145081,0.9932528634040051,0.18015309126931758
2,0.11,Bilirubin_a,0.0,0.0,
2,0.11,Glucose_a,0.0,1.0,0.0
2,0.11,Ketones_a,0.0,1.0,0.0
