n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
2.0,0.01,1.0,0.0,Density_a,0.0,0.0
2.0,0.01,0.3947368421052632,0.7545908162261592,pH_a,0.048822714681440435,0.0019756828017143714
2.0,0.02,0.9949860724233982,0.000404040404040404,Density_a,0.00012569734871703311,8.162432404856646e-07
2.0,0.02,0.0,1.0,pH_a,0.0,0.0
2.0,0.03,0.9828756842164664,0.0,Density_a,0.0006771283226128473,0.0
2.0,0.03,0.0,1.0,pH_a,0.0,0.0
2.0,0.04,0.9554684614925752,0.005755473751867712,Density_a,0.00015843462666202272,0.00013849861651235769
2.0,0.04,0.0,1.0,pH_a,0.0,0.0
2.0,0.05,0.9222778179423488,0.031306087030101154,Density_a,0.00043348117980173296,0.00043234715826860864
2.0,0.05,0.0,1.0,pH_a,0.0,0.0
2.0,0.06,0.8783170930190197,0.07553836805132988,Density_a,0.012006989543896092,0.0017087746828703821
2.0,0.06,0.0,1.0,pH_a,0.0,0.0
2.0,0.07,0.8884198644029089,0.0956331328441074,Density_a,0.0026787844608825656,0.0003090695937451308
2.0,0.07,0.0,1.0,pH_a,0.0,0.0
2.0,0.08,0.8083225674179083,0.2189959265933437,Density_a,0.008348745143239356,0.0024624317204488453
2.0,0.08,0.0,1.0,pH_a,0.0,0.0
2.0,0.09,0.8059158071608804,0.24090034564240986,Density_a,0.004169245416756802,0.006793048363152121
2.0,0.09,0.0,1.0,pH_a,0.0,0.0
2.0,0.1,0.7719298366073464,0.2746039667819559,Density_a,0.002619685749580912,0.002115616306991173
2.0,0.1,0.0,1.0,pH_a,0.0,0.0
2.0,0.11,0.7844696907938074,0.2917876280840763,Density_a,0.007473184696102725,0.0031481177811713604
2.0,0.11,0.0,1.0,pH_a,0.0,0.0
2.0,0.12,0.7803402672869686,0.3635444733352181,Density_a,0.003675001353182537,0.005079160153741659
2.0,0.12,0.0,1.0,pH_a,0.0,0.0
2.0,0.13,0.7465108215570873,0.3605234003551437,Density_a,0.002675711370431951,0.0007329310354259726
2.0,0.13,0.0,1.0,pH_a,0.0,0.0
2.0,0.14,0.7013402337331527,0.4726677418809653,Density_a,0.01879482770388367,0.00936513289605901
2.0,0.14,0.0,1.0,pH_a,0.0,0.0
2.0,0.15,0.7110577200597259,0.4398840173892357,Density_a,0.01717944723335832,0.00440673430509014
2.0,0.15,0.0,1.0,pH_a,0.0,0.0
2.0,0.16,0.6896625214230991,0.4686985037060613,Density_a,0.00014524784731338004,0.005570400116156069
2.0,0.16,0.0,1.0,pH_a,0.0,0.0
2.0,0.17,0.6914631202882519,0.5055152946510753,Density_a,0.002432490696698255,0.005060569334047379
2.0,0.17,0.0,1.0,pH_a,0.0,0.0
2.0,0.18,0.6755557941225938,0.511019492926604,Density_a,0.01309531301701998,0.006036699893065665
2.0,0.18,0.0,1.0,pH_a,0.0,0.0
2.0,0.19,0.7304640657477692,0.528762857512402,Density_a,0.00451408669771774,0.0020099561300601686
2.0,0.19,0.0,1.0,pH_a,0.0,0.0
2.0,0.2,0.7238994873986551,0.5409130347467219,Density_a,0.0027104936027239107,0.004744033160610808
2.0,0.2,0.0,1.0,pH_a,0.0,0.0
2.0,0.21,0.6490667472303829,0.5743263535127033,Density_a,0.00401105622230595,0.002837364397435537
2.0,0.21,0.0,1.0,pH_a,0.0,0.0
2.0,0.22000000000000006,0.7154939531966769,0.5559850467479464,Density_a,0.011578364149200037,0.000580093784373704
2.0,0.22000000000000006,0.0,1.0,pH_a,0.0,0.0
2.0,0.23000000000000004,0.6399079132527908,0.5997180393393629,Density_a,0.004185714756086835,0.002712581934849821
2.0,0.23000000000000004,0.0,1.0,pH_a,0.0,0.0
2.0,0.24,0.5962573767470327,0.6315972943444006,Density_a,0.0005344147161643126,0.002278632093089137
2.0,0.24,0.0,1.0,pH_a,0.0,0.0
2.0,0.25,0.6556219487876039,0.6485333015038129,Density_a,0.002150683868787678,0.005043518474836274
2.0,0.25,0.0,1.0,pH_a,0.0,0.0
2.0,0.26,0.6536095033828915,0.6412306775768679,Density_a,0.013751095137186826,0.00424395218087586
2.0,0.26,0.0,1.0,pH_a,0.0,0.0
2.0,0.27,0.6414444490165547,0.6583767265105046,Density_a,0.00796953082988948,0.006211147707060424
2.0,0.27,0.0,1.0,pH_a,0.0,0.0
2.0,0.28,0.6264064310590631,0.6642572563237972,Density_a,0.0064686250951474095,0.0031937094130965768
2.0,0.28,0.0,1.0,pH_a,0.0,0.0
2.0,0.29,0.5944456062172017,0.6992625411307364,Density_a,0.0009901834293630754,0.0007509460964846298
2.0,0.29,0.0,1.0,pH_a,0.0,0.0
2.0,0.3,0.6009244418162736,0.6952824653043483,Density_a,0.002712251751130081,0.003623380331352464
2.0,0.3,0.0,1.0,pH_a,0.0,0.0
3.0,0.01,0.9922222222222222,0.0060755572129313545,Density_a,0.0002523148148148146,6.982057567179099e-05
3.0,0.01,0.5370588235294117,0.7077088838676726,pH_a,0.19142560553633214,0.006575765658882849
3.0,0.02,0.9777266062533176,0.044461589866289,Density_a,0.00044481072154567766,0.0007966255965422795
3.0,0.02,0.0,0.996623589528942,pH_a,0.0,2.212046488400985e-05
3.0,0.03,0.9642387023318816,0.09337120236303796,Density_a,0.00032003886001263617,0.0007675178828375447
3.0,0.03,0.0,1.0,pH_a,0.0,0.0
3.0,0.04,0.9350485620172148,0.12919208364902202,Density_a,0.00030283299551596085,0.000871673152007473
3.0,0.04,0.0,1.0,pH_a,0.0,0.0
3.0,0.05,0.9618742420020588,0.16063868330218936,Density_a,0.000556173001957104,0.004873002308366964
3.0,0.05,0.0,1.0,pH_a,0.0,0.0
3.0,0.06,0.9047322072380396,0.20299051779453564,Density_a,0.0022304724310009513,0.0025147000941625262
3.0,0.06,0.0,1.0,pH_a,0.0,0.0
3.0,0.07,0.9286204082052772,0.2571264277467331,Density_a,0.0030692305561780603,0.0030949072611977067
3.0,0.07,0.0,1.0,pH_a,0.0,0.0
3.0,0.08,0.9086422195676136,0.294235894658737,Density_a,0.0005487621677401868,0.0029947905104945674
3.0,0.08,0.0,1.0,pH_a,0.0,0.0
3.0,0.09,0.8277156209442025,0.3381258638172656,Density_a,0.005100100648405836,0.0012355105790491188
3.0,0.09,0.0,1.0,pH_a,0.0,0.0
3.0,0.1,0.8516012298105246,0.3564214771514882,Density_a,0.006640202890593227,0.0036932315625984985
3.0,0.1,0.0,1.0,pH_a,0.0,0.0
3.0,0.11,0.8295121747817551,0.3285552801305981,Density_a,0.002390567751833885,0.005020538191796664
3.0,0.11,0.0,1.0,pH_a,0.0,0.0
3.0,0.12,0.8028895370420382,0.3962585307144853,Density_a,0.0097262615915046,0.003681020636834775
3.0,0.12,0.0,1.0,pH_a,0.0,0.0
3.0,0.13,0.7653481238916591,0.4183120989046481,Density_a,0.0037194280414281095,0.002426563767964498
3.0,0.13,0.0,1.0,pH_a,0.0,0.0
3.0,0.14,0.7812782420303311,0.4589531324528413,Density_a,0.001655877231135124,0.003828576625106636
3.0,0.14,0.0,1.0,pH_a,0.0,0.0
3.0,0.15,0.8189781471221915,0.44243384550161374,Density_a,0.0032120644752212484,0.003266261224713957
3.0,0.15,0.0,1.0,pH_a,0.0,0.0
3.0,0.16,0.7350765418988342,0.4887678319570775,Density_a,0.004013387243966072,0.0027574045271367945
3.0,0.16,0.0,1.0,pH_a,0.0,0.0
3.0,0.17,0.8128598057593338,0.5154680940711887,Density_a,0.003112204669928485,0.015868311771462425
3.0,0.17,0.0,1.0,pH_a,0.0,0.0
3.0,0.18,0.7292616083373288,0.6089909113981711,Density_a,0.0017743778397871235,0.0038102783224549727
3.0,0.18,0.0,1.0,pH_a,0.0,0.0
3.0,0.19,0.7154472738921747,0.544556739353294,Density_a,0.007312316434890486,0.0027133784973258587
3.0,0.19,0.0,1.0,pH_a,0.0,0.0
3.0,0.2,0.6762567055891382,0.5680735485319925,Density_a,0.005266113840779046,0.0038565383546382156
3.0,0.2,0.0,1.0,pH_a,0.0,0.0
3.0,0.21,0.6438611037177406,0.6226614786607328,Density_a,0.004137484967488619,0.0019933238665052998
3.0,0.21,0.0,1.0,pH_a,0.0,0.0
3.0,0.22000000000000006,0.7046951298645269,0.5834701681916868,Density_a,0.0159868195912351,0.001863692309071282
3.0,0.22000000000000006,0.0,1.0,pH_a,0.0,0.0
3.0,0.23000000000000004,0.6873575367409999,0.6503337051303409,Density_a,0.0027520677905264984,0.002262494877056534
3.0,0.23000000000000004,0.0,1.0,pH_a,0.0,0.0
3.0,0.24,0.5897009911706562,0.6151410627263081,Density_a,0.004211134883746611,0.00721116538854438
3.0,0.24,0.0,1.0,pH_a,0.0,0.0
3.0,0.25,0.6348577452420144,0.6392795864838077,Density_a,0.0023313164758769853,0.006941038538852723
3.0,0.25,0.0,1.0,pH_a,0.0,0.0
3.0,0.26,0.6807251655631471,0.7089270694565929,Density_a,0.011452930913336023,0.0067604626641502965
3.0,0.26,0.0,1.0,pH_a,0.0,0.0
3.0,0.27,0.65531652211488,0.6589593359080549,Density_a,0.011883747099268671,0.007143028437925325
3.0,0.27,0.0,1.0,pH_a,0.0,0.0
3.0,0.28,0.615695206305651,0.6873380562675155,Density_a,0.006801307236342177,0.005102454899706549
3.0,0.28,0.0,1.0,pH_a,0.0,0.0
3.0,0.29,0.6108229171335772,0.6995899395908444,Density_a,0.0024915508988504237,0.002293814237994205
3.0,0.29,0.0,1.0,pH_a,0.0,0.0
3.0,0.3,0.6827396693000247,0.6894698457514827,Density_a,0.01805099621079344,0.0006883427719667171
3.0,0.3,0.0,1.0,pH_a,0.0,0.0
4.0,0.01,1.0,0.015137664835326132,Density_a,0.0,0.0001817864429100109
4.0,0.01,0.43176470588235294,0.7074481061897929,pH_a,0.17033910034602076,0.0027438373369521344
4.0,0.02,0.9899751182468048,0.03575339423657065,Density_a,0.0001140077201797448,0.0015694831007888794
4.0,0.02,0.03333333333333333,0.9953927011512748,pH_a,0.005555555555555557,3.40879871183899e-05
4.0,0.03,0.972210857952876,0.10116871184329776,Density_a,0.00022168360670740225,0.002741823702716393
4.0,0.03,0.0,0.9997557997557998,pH_a,0.0,2.981687963372924e-07
4.0,0.04,0.968346563001932,0.09960156080936802,Density_a,0.0008198521473770644,0.0009575802906862476
4.0,0.04,0.0,0.997596153846154,pH_a,0.0,2.889238165680453e-05
4.0,0.05,0.943137479700948,0.12264679727338305,Density_a,0.0014120951380732507,0.003345392393668189
4.0,0.05,0.0,1.0,pH_a,0.0,0.0
4.0,0.06,0.9537645598276552,0.2290063639688849,Density_a,0.0003879491194946804,0.001893155141758725
4.0,0.06,0.0,1.0,pH_a,0.0,0.0
4.0,0.07,0.8801518640792295,0.2778351128243703,Density_a,0.0008487324187817261,0.004120329789033731
4.0,0.07,0.0,1.0,pH_a,0.0,0.0
4.0,0.08,0.9123904217973118,0.26752650162991404,Density_a,0.004041713687584111,0.0061983729002855
4.0,0.08,0.0,1.0,pH_a,0.0,0.0
4.0,0.09,0.8462558042853873,0.36175185770136215,Density_a,0.005755727858198782,0.00983136611516746
4.0,0.09,0.0,1.0,pH_a,0.0,0.0
4.0,0.1,0.8649707084853056,0.4052779695467392,Density_a,0.000682479297638596,0.003603701911695719
4.0,0.1,0.0,1.0,pH_a,0.0,0.0
4.0,0.11,0.8519262804552167,0.3777811553336447,Density_a,0.004391831088829643,0.005719036837673315
4.0,0.11,0.0,1.0,pH_a,0.0,0.0
4.0,0.12,0.7802475952640469,0.4842862877255513,Density_a,0.0031414652543316646,0.002559461386484766
4.0,0.12,0.0,1.0,pH_a,0.0,0.0
4.0,0.13,0.8014272431838952,0.472895034342922,Density_a,0.001592287594845847,0.002727996472520571
4.0,0.13,0.0,1.0,pH_a,0.0,0.0
4.0,0.14,0.7903443113809432,0.4920086385067819,Density_a,0.0005823645746049495,0.004525491387648236
